au,mean_intensity,active_rate,is_anger
AU17,0.7490871537340029,0.8518548517738539,False
AU25,0.5936485501376965,0.7190588044710837,False
AU01,0.5159618499919002,0.4346346994978131,False
AU26,0.49776688806091046,0.7407257411307306,False
AU14,0.49354284788595504,0.7601652357038717,False
AU12,0.36630042118904904,0.5519196500890977,False
AU45,0.33918516118580916,0.5527296290296452,False
AU20,0.33101773853879796,0.3581726875101247,False
AU10,0.21831564879313137,0.31872671310545925,False
AU23,0.2180046168799611,0.3393811760894217,True
AU07,0.15730803499109022,0.32411307306010045,True
AU02,0.1408597926453912,0.25453588206706623,False
AU15,0.13702292240401748,0.3960392029807225,False
AU06,0.12449497813056859,0.18536368054430585,False
AU09,0.0762740968734813,0.23149198120848857,False
AU05,0.06726105621253847,0.16009233759922242,True
AU04,0.04027012797667261,0.07439656568929208,True
