au,mean_intensity,active_rate,is_anger
AU17,1.3250935447899888,0.827571965473093,False
AU26,0.9169710486102507,0.723826043860736,False
AU07,0.7112179407756164,0.8376904968405402,True
AU04,0.6421455416511791,0.7878412423078511,True
AU25,0.601387271300541,0.7437740056994177,False
AU10,0.3810205261636311,0.6231363317226284,False
AU01,0.3424883327138314,0.43427084623962336,False
AU15,0.31210052451162595,0.4643373394457523,False
AU06,0.2811716846322223,0.5997191591293933,False
AU20,0.2563705447486887,0.34952298352124894,False
AU45,0.2444637178375253,0.49593193738900593,False
AU14,0.23271465741543795,0.42510221781687524,False
AU02,0.1892016685251724,0.2570932969892207,False
AU23,0.18245777061908894,0.35712220707884196,True
AU12,0.13960269276834758,0.30504274563251144,False
AU09,0.08776153306075248,0.24544666088464875,False
AU05,0.0689385867096188,0.18721348036178911,True
