au,mean_intensity,active_rate,is_anger
AU10,1.0276281660718947,0.8783183915049178,False
AU07,0.9571564104795892,0.8591696405257202,True
AU12,0.83081338671773,0.9282357037165985,False
AU17,0.6719892941074072,0.8270084428583863,False
AU14,0.6635951779963444,0.7471059274088259,False
AU26,0.6163539037340066,0.7397510662372704,False
AU06,0.49514056924014277,0.7530681521455305,False
AU25,0.43873879362868834,0.7300896509704935,False
AU01,0.4083070763338846,0.4435111846113674,False
AU04,0.3598289668378449,0.5614936025763774,True
AU45,0.2545648011141091,0.4867699538689181,False
AU23,0.25071372617286103,0.3420663243102098,True
AU15,0.2212973278788406,0.41187222560710246,False
AU02,0.19624728000696318,0.25528766646357387,False
AU20,0.16121028810166246,0.3383236138915484,False
AU05,0.14731699886848287,0.19997388806684654,True
AU09,0.09536426146749065,0.25676734267560275,False
