,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
Trump 2016,0.3424883327138314,0.1892016685251724,0.6421455416511791,0.0689385867096188,0.2811716846322223,0.7112179407756164,0.08776153306075248,0.3810205261636311,0.13960269276834758,0.23271465741543795,0.31210052451162595,1.3250935447899888,0.2563705447486887,0.18245777061908894,0.601387271300541,0.9169710486102507,0.2444637178375253
Clinton 2016,0.5159618499919002,0.1408597926453912,0.04027012797667261,0.06726105621253847,0.12449497813056859,0.15730803499109022,0.0762740968734813,0.21831564879313137,0.36630042118904904,0.49354284788595504,0.13702292240401748,0.7490871537340029,0.33101773853879796,0.2180046168799611,0.5936485501376965,0.49776688806091046,0.33918516118580916
Trump 2024,0.26070313480935836,0.10456870213033106,1.2297610178713432,0.11056041518436362,0.560781400410162,0.08377014188255974,0.08723056962290211,0.8317235173481773,0.2489662244171933,1.0610124304189512,0.18307370359519526,0.6041836521156825,0.1222299418239652,0.1795760264512619,0.7858452266354161,0.36888712175114047,0.1325563972711673
Harris 2024,0.4083070763338846,0.19624728000696318,0.3598289668378449,0.14731699886848287,0.49514056924014277,0.9571564104795892,0.09536426146749065,1.0276281660718947,0.83081338671773,0.6635951779963444,0.2212973278788406,0.6719892941074072,0.16121028810166246,0.25071372617286103,0.43873879362868834,0.6163539037340066,0.2545648011141091
