au,mean_intensity,active_rate,is_anger
AU04,1.2297610178713432,0.9488134600092077,True
AU14,1.0610124304189512,0.9719164608881262,False
AU10,0.8317235173481773,0.837734901435567,False
AU25,0.7858452266354161,0.7105846900765914,False
AU17,0.6041836521156825,0.8728916419034863,False
AU06,0.560781400410162,0.8652743481354371,False
AU26,0.36888712175114047,0.7227221361905161,False
AU01,0.26070313480935836,0.4431423429456326,False
AU12,0.2489662244171933,0.35098145900472943,False
AU15,0.18307370359519526,0.41137571673711965,False
AU23,0.1795760264512619,0.3165362239986607,True
AU45,0.1325563972711673,0.35717574184907713,False
AU20,0.1222299418239652,0.30134348972502406,False
AU05,0.11056041518436362,0.1919390616498556,True
AU02,0.10456870213033106,0.23320637843719919,False
AU09,0.08723056962290211,0.27803122253379653,False
AU07,0.08377014188255974,0.22420792700791026,True
